Player,Grade,Rank,PFF Grade,ANY/T - Drummond
Rasul Douglas,14.37987644,1,74.8,0.33
J.C. Jackson,13.60122644,2,78.9,2.32
Jamel Dean,13.07212644,3,75,3.38
Trevon Diggs,10.42627644,4,59.6,3.01
Tre'Davious White,9.937476437,5,65.7,4.42
AJ Terrell,9.119876437,6,82.7,3.49
Patrick Surtain II,8.948376437,7,66.1,3.49
Emmanuel Moseley,8.080276437,8,68.7,4.96
D.J. Reed,6.783326437,9,78.6,5.32
Adoree' Jackson,6.766726437,10,74.9,4.63
Adrian Phillips,6.555476437,11,80.5,
Jalen Ramsey,5.856076437,12,84.4,4.72
Kristian Fulton,5.757776437,13,65.6,6.01
Eric Stokes,5.730626437,14,66.3,5.42
Levi Wallace,5.577876437,15,65.2,4.83
Nik Needham,5.527226437,16,65.2,5.1
Greedy Williams,4.962076437,17,64.6,
Cameron Dantzler,4.823726437,18,72.4,4.92
Darius Slay,4.786676437,19,81.3,4.33
Xavien Howard,4.725826437,20,70.9,4.68
Chidobe Awuzie,4.657576437,21,83.4,4.64
Taron Johnson,4.632226437,22,69.6,5.61
Amani Oruwariye,4.443376437,23,59,5.3
Denzel Ward,4.014426437,24,76.9,3.29
Isaiah Rodgers,3.610226437,25,70.7,
Anthony Averett,3.601776437,26,56.3,6.65
Patrick Peterson,3.549976437,27,63,5.08
Brandin Echols,3.222926437,28,45,6.12
Anthony Brown,2.974926437,29,67.7,6.03
Charvarius Ward,2.867926437,30,67.8,6.59
Robert Alford,2.619226437,31,66.9,5.04
Rashad Fenton,2.402126437,32,82,5.96
Carlton Davis,2.009226437,33,69.9,5.89
Sidney Jones,1.943376437,34,70.2,5.96
Tavon Young,1.716626437,35,60.4,
Greg Newsome II,1.640526437,36,68.1,6.5
Ronald Darby,1.543426437,37,61.1,7.29
Avonte Maddox,1.361326437,38,72.8,5.24
Donte Jackson,0.890826437,39,61.3,6.37
Eli Apple,0.744426437,40,61,6.69
Kenny Moore,0.374526437,41,66.6,5.17
Michael Davis,0.304626437,42,54,6.85
Byron Murphy,0.176926437,43,59.7,5.94
Nate Hobbs,-0.278573563,44,78.4,5.89
L'Jarius Sneed,-0.778323563,45,64.1,6.91
Casey Hayward,-0.920773563,46,76.6,7.89
Paulson Adebo,-1.247823563,47,60.3,7.08
Chris Harris Jr.,-1.335123563,48,62.4,7.65
Desmond King,-1.424123563,49,53,
Chandon Sullivan,-1.443673563,50,55,7.33
Jourdan Lewis,-1.467723563,51,61.4,6.88
Tyson Campbell,-1.585173563,52,62.7,7.83
Marshon Lattimore,-2.001373563,53,77.3,7.51
James Bradberry,-2.167673563,54,62.8,7.03
Darious Williams,-2.248123563,55,59,7.5
Kendall Fuller,-2.286073563,56,81.5,7.43
Brandon Facyson,-2.298523563,57,51.7,
Xavier Rhodes,-2.616173563,58,61.8,8.54
Asante Samuel Jr.,-2.688273563,59,56.4,
Michael Carter,-3.228073563,60,53.7,7.82
Terrance Mitchell,-3.313923563,61,52.4,
Joe Haden,-3.405123563,62,63.4,8.25
Mike Hilton,-3.482823563,63,72.4,6.64
Marlon Humphrey,-3.735523563,64,65.9,8.81
Elijah Molden,-3.775923563,65,64.1,7.9
Sean Murphy-Bunting,-3.904073563,66,61.7,
Mike Hughes,-3.943623563,67,79.6,7.85
Byron Jones,-3.985123563,68,65,8.99
Janoris Jenkins,-4.066773563,69,65.4,7.93
William Jackson III,-4.103773563,70,59.3,8
Jaylon Johnson,-4.464673563,71,64.2,
AJ Parker,-4.978773563,72,48.3,
Tevaughn Campbell,-5.013273563,73,56.9,9.48
Logan Ryan,-5.316073563,74,60.4,9.27
Cameron Sutton,-5.435173563,75,61.9,8.65
James Pierre,-5.515723563,76,58.1,
Bryce Hall,-6.380073563,77,63.2,8.57
Shaquill Griffin,-6.439673563,78,72,9.12
Steven Nelson,-6.465173563,79,62.9,8.72
Josh Norman,-7.075173563,80,48.8,8.95
Keith Taylor,-7.291023563,81,58,
Jalen Mills,-7.590473563,82,67.5,8.4
Fabian Moreau,-9.198873563,83,57.7,9.17
Mackensie Alexander,-10.06367356,84,40.2,10.69
Kyle Fuller,-10.29142356,85,47.2,10.04
Marco Wilson,-10.52057356,86,52.9,9.57
Kindle Vildor,-15.54937356,87,50.2,12.17
,,,,
,,,0.538686115,-0.94665569
