Rk,Player,School,Conf,G,Rec,Yds,Avg,TD
1,DeVonta Smith,Alabama,SEC,13,117,1856,15.9,23
2,Elijah Moore,Ole Miss,SEC,8,86,1193,13.9,8
3,Jaelon Darden,North Texas,CUSA,9,74,1190,16.1,19
4,Dax Milne,Brigham Young,Ind,12,70,1188,17,8
5,Jonathan Adams Jr.,Arkansas State,Sun Belt,10,79,1111,14.1,12
6,Dyami Brown,North Carolina,ACC,11,55,1099,20,8
7,Jalen Tolbert,South Alabama,Sun Belt,11,64,1085,17,8
8,Calvin Austin III,Memphis,American,11,63,1053,16.7,11
9,Marlon Williams,UCF,American,8,71,1039,14.6,10
10,Amari Rodgers,Clemson,ACC,12,77,1020,13.2,7
11,Romeo Doubs,Nevada,MWC,9,58,1002,17.3,9
12,Jaivon Heiligh,Coastal Carolina,Sun Belt,11,65,998,15.4,10
13,Kadarius Toney,Florida,SEC,11,70,984,14.1,10
14,Jaylon Robinson,UCF,American,10,55,979,17.8,6
15,Jaquarii Roberson,Wake Forest,ACC,9,62,926,14.9,8
16,Tylan Wallace,Oklahoma State,Big 12,10,59,922,15.6,6
17,John Metchie,Alabama,SEC,13,55,916,16.7,6
18,Zay Flowers,Boston College,ACC,11,56,892,15.9,9
19,Jahan Dotson,Penn State,Big Ten,9,52,884,17,8
20,Cornell Powell,Clemson,ACC,12,53,882,16.6,7
21,Dez Fitzpatrick,Louisville,ACC,11,43,833,19.4,3
22,Treylon Burks,Arkansas,SEC,9,51,820,16.1,7
23,Sam Pinckney,Georgia State,Sun Belt,10,47,815,17.3,7
24,Mike Harley,Miami (FL),ACC,11,57,799,14,7
25,Xavier Hutchinson,Iowa State,Big 12,12,64,771,12,4
26,Kyle Pitts,Florida,SEC,8,43,770,17.9,12
27,D'Wayne Eskridge,Western Michigan,MAC,6,33,768,23.3,8
28,Gunner Romney,Brigham Young,Ind,10,39,767,19.7,2
29,Seth Williams,Auburn,SEC,11,47,760,16.2,4
